Source,Title,Price,Rating,Link
Amazon,Bacca Bucci,1199.0,3.6,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDcyNDAzMzM1MzUzODkxOjE3NTc3NzI0ODE6c3BfYXRmOjMwMDcwOTQ1MTIzMjYzMjo6MDo6&url=%2FBacca-Ultraforce-Athletic-Inspired-Sneakers-Men-Black%2Fdp%2FB07QC2CPWP%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.G8P2aklFMiI_nuH8CxlbMRQDPk-uKhdbW9UORtg1qlTzIG4IJIn5D6Uhp3FvTP_g9Un0GXw7SomadfcweeKgF3mcYWzFfCQlgTuP7hYytDvID-lwYlBKSS3uWhiWxN8S6IitNTZFxyf8VgrAHN3dsKGEFJSgv_-3YoYcHOVD7cvqtgvFp2Ef_8Ie-SY-RcdkrNQkWx11jB6dkAb7TnwSx3vKI_UJf-5F4vH3_qEUpSBSPKE9sNwoofDMrZPJNUBVGYkfTHIGA4JDKR6ECoc1Koztlm-WeOIl2kmoZPC7CuA.IbsMdl634nXu0pdRLYOy7FHxTirWg0mOBoG9azgpY7g%26dib_tag%3Dse%26keywords%3DShoes%26qid%3D1757772481%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=S2QFK3SykT&sp_cr=ZAZ
Amazon,Bacca Bucci,1119.0,3.9,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDcyNDAzMzM1MzUzODkxOjE3NTc3NzI0ODE6c3BfYXRmOjMwMDcxMTAzNzIwODQzMjo6MDo6&url=%2FBacca-Bucci-Essential-Everyday-Purpose%2Fdp%2FB0C3XXCJ49%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.G8P2aklFMiI_nuH8CxlbMRQDPk-uKhdbW9UORtg1qlTzIG4IJIn5D6Uhp3FvTP_g9Un0GXw7SomadfcweeKgF3mcYWzFfCQlgTuP7hYytDvID-lwYlBKSS3uWhiWxN8S6IitNTZFxyf8VgrAHN3dsKGEFJSgv_-3YoYcHOVD7cvqtgvFp2Ef_8Ie-SY-RcdkrNQkWx11jB6dkAb7TnwSx3vKI_UJf-5F4vH3_qEUpSBSPKE9sNwoofDMrZPJNUBVGYkfTHIGA4JDKR6ECoc1Koztlm-WeOIl2kmoZPC7CuA.IbsMdl634nXu0pdRLYOy7FHxTirWg0mOBoG9azgpY7g%26dib_tag%3Dse%26keywords%3DShoes%26qid%3D1757772481%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=1El3SeYAVQ&sp_cr=ZAZ
Amazon,Bacca Bucci,1499.0,3.9,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDcyNDAzMzM1MzUzODkxOjE3NTc3NzI0ODE6c3BfYXRmOjMwMDcwMTkzODYxNTEzMjo6MDo6&url=%2FBacca-Bucci-Fashion-Sneakers-Training%2Fdp%2FB092K8G5Q8%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.G8P2aklFMiI_nuH8CxlbMRQDPk-uKhdbW9UORtg1qlTzIG4IJIn5D6Uhp3FvTP_g9Un0GXw7SomadfcweeKgF3mcYWzFfCQlgTuP7hYytDvID-lwYlBKSS3uWhiWxN8S6IitNTZFxyf8VgrAHN3dsKGEFJSgv_-3YoYcHOVD7cvqtgvFp2Ef_8Ie-SY-RcdkrNQkWx11jB6dkAb7TnwSx3vKI_UJf-5F4vH3_qEUpSBSPKE9sNwoofDMrZPJNUBVGYkfTHIGA4JDKR6ECoc1Koztlm-WeOIl2kmoZPC7CuA.IbsMdl634nXu0pdRLYOy7FHxTirWg0mOBoG9azgpY7g%26dib_tag%3Dse%26keywords%3DShoes%26qid%3D1757772481%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=rkiApvbSdJ&sp_cr=ZAZ
Amazon,Bacca Bucci,1499.0,4.1,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDcyNDAzMzM1MzUzODkxOjE3NTc3NzI0ODE6c3BfYXRmOjMwMDcwODYzNDA4NTIzMjo6MDo6&url=%2FBacca-Bucci-Balancer-Basketball-Shoes-White%2Fdp%2FB09W37ZHGV%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.G8P2aklFMiI_nuH8CxlbMRQDPk-uKhdbW9UORtg1qlTzIG4IJIn5D6Uhp3FvTP_g9Un0GXw7SomadfcweeKgF3mcYWzFfCQlgTuP7hYytDvID-lwYlBKSS3uWhiWxN8S6IitNTZFxyf8VgrAHN3dsKGEFJSgv_-3YoYcHOVD7cvqtgvFp2Ef_8Ie-SY-RcdkrNQkWx11jB6dkAb7TnwSx3vKI_UJf-5F4vH3_qEUpSBSPKE9sNwoofDMrZPJNUBVGYkfTHIGA4JDKR6ECoc1Koztlm-WeOIl2kmoZPC7CuA.IbsMdl634nXu0pdRLYOy7FHxTirWg0mOBoG9azgpY7g%26dib_tag%3Dse%26keywords%3DShoes%26qid%3D1757772481%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=Myj9AeNKQj&sp_cr=ZAZ
Amazon,OPTIFINE,299.0,3.6,https://www.amazon.in/OPTIFINE-Folding-Shoerack-Entryway-Footwear/dp/B0FFZMMYGT/ref=sr_1_5?dib=eyJ2IjoiMSJ9.G8P2aklFMiI_nuH8CxlbMRQDPk-uKhdbW9UORtg1qlTzIG4IJIn5D6Uhp3FvTP_g9Un0GXw7SomadfcweeKgF3mcYWzFfCQlgTuP7hYytDvID-lwYlBKSS3uWhiWxN8S6IitNTZFxyf8VgrAHN3dsKGEFJSgv_-3YoYcHOVD7cvqtgvFp2Ef_8Ie-SY-RcdkrNQkWx11jB6dkAb7TnwSx3vKI_UJf-5F4vH3_qEUpSBSPKE9sNwoofDMrZPJNUBVGYkfTHIGA4JDKR6ECoc1Koztlm-WeOIl2kmoZPC7CuA.IbsMdl634nXu0pdRLYOy7FHxTirWg0mOBoG9azgpY7g&dib_tag=se&keywords=Shoes&qid=1757772481&sr=8-5
Amazon,ASIAN,764.0,3.6,https://www.amazon.in/ASIAN-MEXICO-11-Synthetic-Lightweight-Comfortable/dp/B0DBD365C4/ref=sr_1_6?dib=eyJ2IjoiMSJ9.G8P2aklFMiI_nuH8CxlbMRQDPk-uKhdbW9UORtg1qlTzIG4IJIn5D6Uhp3FvTP_g9Un0GXw7SomadfcweeKgF3mcYWzFfCQlgTuP7hYytDvID-lwYlBKSS3uWhiWxN8S6IitNTZFxyf8VgrAHN3dsKGEFJSgv_-3YoYcHOVD7cvqtgvFp2Ef_8Ie-SY-RcdkrNQkWx11jB6dkAb7TnwSx3vKI_UJf-5F4vH3_qEUpSBSPKE9sNwoofDMrZPJNUBVGYkfTHIGA4JDKR6ECoc1Koztlm-WeOIl2kmoZPC7CuA.IbsMdl634nXu0pdRLYOy7FHxTirWg0mOBoG9azgpY7g&dib_tag=se&keywords=Shoes&qid=1757772481&sr=8-6
Amazon,Reebok,1485.0,,https://www.amazon.in/RACERRUNNER-Men-Black-Running-Shoes/dp/B0BVBV4VP8/ref=sr_1_7?dib=eyJ2IjoiMSJ9.G8P2aklFMiI_nuH8CxlbMRQDPk-uKhdbW9UORtg1qlTzIG4IJIn5D6Uhp3FvTP_g9Un0GXw7SomadfcweeKgF3mcYWzFfCQlgTuP7hYytDvID-lwYlBKSS3uWhiWxN8S6IitNTZFxyf8VgrAHN3dsKGEFJSgv_-3YoYcHOVD7cvqtgvFp2Ef_8Ie-SY-RcdkrNQkWx11jB6dkAb7TnwSx3vKI_UJf-5F4vH3_qEUpSBSPKE9sNwoofDMrZPJNUBVGYkfTHIGA4JDKR6ECoc1Koztlm-WeOIl2kmoZPC7CuA.IbsMdl634nXu0pdRLYOy7FHxTirWg0mOBoG9azgpY7g&dib_tag=se&keywords=Shoes&qid=1757772481&sr=8-7
Amazon,ASIAN,599.0,3.9,https://www.amazon.in/ASIAN-Wonder-13-Sports-Running-Shoes/dp/B01N54ZM9W/ref=sr_1_8?dib=eyJ2IjoiMSJ9.G8P2aklFMiI_nuH8CxlbMRQDPk-uKhdbW9UORtg1qlTzIG4IJIn5D6Uhp3FvTP_g9Un0GXw7SomadfcweeKgF3mcYWzFfCQlgTuP7hYytDvID-lwYlBKSS3uWhiWxN8S6IitNTZFxyf8VgrAHN3dsKGEFJSgv_-3YoYcHOVD7cvqtgvFp2Ef_8Ie-SY-RcdkrNQkWx11jB6dkAb7TnwSx3vKI_UJf-5F4vH3_qEUpSBSPKE9sNwoofDMrZPJNUBVGYkfTHIGA4JDKR6ECoc1Koztlm-WeOIl2kmoZPC7CuA.IbsMdl634nXu0pdRLYOy7FHxTirWg0mOBoG9azgpY7g&dib_tag=se&keywords=Shoes&qid=1757772481&sr=8-8
Amazon,Campus,669.0,4.1,https://www.amazon.in/Campus-OXYFIT-Walking-Shoes-10-UK/dp/B09RPDCKZC/ref=sr_1_9?dib=eyJ2IjoiMSJ9.G8P2aklFMiI_nuH8CxlbMRQDPk-uKhdbW9UORtg1qlTzIG4IJIn5D6Uhp3FvTP_g9Un0GXw7SomadfcweeKgF3mcYWzFfCQlgTuP7hYytDvID-lwYlBKSS3uWhiWxN8S6IitNTZFxyf8VgrAHN3dsKGEFJSgv_-3YoYcHOVD7cvqtgvFp2Ef_8Ie-SY-RcdkrNQkWx11jB6dkAb7TnwSx3vKI_UJf-5F4vH3_qEUpSBSPKE9sNwoofDMrZPJNUBVGYkfTHIGA4JDKR6ECoc1Koztlm-WeOIl2kmoZPC7CuA.IbsMdl634nXu0pdRLYOy7FHxTirWg0mOBoG9azgpY7g&dib_tag=se&keywords=Shoes&qid=1757772481&sr=8-9
Amazon,ASIAN,644.0,3.7,https://www.amazon.in/ASIAN-TARZAN-04-Sneaker-Synthetic-Lightweight/dp/B0DJD6VH94/ref=sr_1_10?dib=eyJ2IjoiMSJ9.G8P2aklFMiI_nuH8CxlbMRQDPk-uKhdbW9UORtg1qlTzIG4IJIn5D6Uhp3FvTP_g9Un0GXw7SomadfcweeKgF3mcYWzFfCQlgTuP7hYytDvID-lwYlBKSS3uWhiWxN8S6IitNTZFxyf8VgrAHN3dsKGEFJSgv_-3YoYcHOVD7cvqtgvFp2Ef_8Ie-SY-RcdkrNQkWx11jB6dkAb7TnwSx3vKI_UJf-5F4vH3_qEUpSBSPKE9sNwoofDMrZPJNUBVGYkfTHIGA4JDKR6ECoc1Koztlm-WeOIl2kmoZPC7CuA.IbsMdl634nXu0pdRLYOy7FHxTirWg0mOBoG9azgpY7g&dib_tag=se&keywords=Shoes&qid=1757772481&sr=8-10
